sale_id,customer_id,station_id,product_id,payment_id,employee_id,sale_date,quantity,unit_price,total_amount
SL1059,C006,S04,P05,PM01,E04,2026-06-16,3.0,4.969,14.91
SL1060,C001,S06,P04,PM01,E02,2026-06-16,17.75,0.857,
SL1061,C010,S03,P05,PM03,E01,2026-06-16,2.0,4.98,9.96
SL1062,C005,S06,P04,PM03,E04,2026-06-16,29.4,0.9054,26.62
SL1063,C002,S06,P04,PM02,E03,2026-06-17,19.21,0.9334,17.93
SL1064,C005,S03,P02,PM04,E03,2026-06-17,21.27,1.0442,22.21
SL1065,C004,S05,P04,PM02,E01,2026-06-17,14.93,0.9164,13.68
SL1066,C009,S03,P01,PM02,E03,2026-06-17,12.86,0.9199,11.83
SL1067,C001,S02,P04,PM01,E04,2026-06-18,19.51,0.913,17.81
SL1068,C004,S06,P06,PM04,E04,2026-06-18,2.0,4.9648,9.93
SL1069,C001,S01,P07,PM04,E02,2026-06-18,1.0,5.0458,5.05
SL1070,C001,S05,P02,PM01,E04,2026-06-19,9.67,1.0465,10.12
SL1071,C008,S05,P05,PM03,E04,2026-06-19,2.0,5.0219,10.04
SL1072,C008,S04,P07,PM04,E02,2026-06-19,2.0,4.9975,9.99
SL1073,C005,S02,P07,PM03,E04,2026-06-19,2.0,4.9775,9.96
SL1074,C002,S06,P03,PM02,E03,2026-06-19,16.75,1.1893,19.92
SL1075,C002,S02,P02,PM02,E04,2026-06-19,29.29,1.0706,
SL1076,C002,S04,P03,PM04,E04,2026-06-20,7.18,1.1833,8.5
SL1077,C002,S05,P06,PM01,E04,2026-06-20,2.0,5.0443,10.09
SL1078,C005,S04,P07,PM04,E02,2026-06-20,2.0,4.9773,9.95
SL1079,C001,S04,P03,PM04,E02,2026-06-21,34.42,1.192,41.03
SL1080,C009,S05,P01,PM04,E01,2026-06-21,7.94,0.9429,7.49
SL1081,C007,S02,P01,PM03,E04,2026-06-21,16.46,0.9455,15.56
SL1082,C006,S04,P03,PM04,E03,2026-06-21,34.22,1.147,39.25
SL1083,C008,S01,P03,PM02,E01,2026-06-21,32.34,1.1652,37.68
SL1084,C001,S02,P02,PM01,E02,2026-06-21,13.35,1.0474,13.98
SL1085,C009,S02,P04,PM03,E03,2026-06-22,10.87,0.9107,9.9
SL1086,C002,S02,P03,PM01,E01,2026-06-22,37.51,1.1576,43.42
SL1087,C002,S04,P06,PM02,E01,2026-06-22,2.0,5.0331,10.07
SL1088,C002,S06,P07,PM03,E01,2026-06-23,3.0,5.0066,15.02
SL1089,C001,S03,P05,PM04,E03,2026-06-23,1.0,5.0148,5.01
SL1090,C001,S04,P07,PM04,E01,2026-06-23,2.0,4.9862,
SL1091,C007,S06,P02,PM04,E02,2026-06-23,30.68,1.0965,33.64
SL1092,C009,S05,P07,PM04,E04,2026-06-24,2.0,5.0231,10.05
SL1093,C005,S03,P07,PM02,E01,2026-06-24,2.0,4.9951,9.99
SL1094,C007,S05,P05,PM04,E03,2026-06-24,1.0,5.0351,5.04
SL1095,C003,S04,P02,PM03,E03,2026-06-24,16.91,1.088,18.4
SL1096,C005,S05,P01,PM02,E01,2026-06-24,13.45,0.9406,12.65
SL1097,C007,S06,P06,PM04,E04,2026-06-25,3.0,4.9593,14.88
SL1098,C004,S04,P06,PM02,E03,2026-06-25,2.0,4.9869,9.97
SL1099,C008,S05,P03,PM04,E03,2026-06-25,17.31,1.1454,19.83
SL1100,C005,S03,P02,PM01,E02,2026-06-25,16.04,1.0743,17.23
SL1101,C004,S02,P06,PM04,E03,2026-06-26,2.0,5.0477,10.1
SL1102,C008,S05,P03,PM01,E02,2026-06-26,15.37,1.1361,17.46
SL1103,C005,S01,P06,PM02,E03,2026-06-26,1.0,4.9555,4.96
SL1104,C005,S06,P02,PM04,E01,2026-06-26,35.55,1.0574,37.59
SL1105,C007,S04,P03,PM02,E01,2026-06-27,13.84,1.1862,
SL1106,C002,S01,P04,PM04,E01,2026-06-27,25.2,0.9186,23.15
SL1107,C003,S02,P07,PM03,E01,2026-06-27,3.0,4.9618,14.89
SL1108,C002,S05,P05,PM02,E04,2026-06-27,2.0,4.9943,9.99
SL1109,C009,S04,P03,PM01,E01,2026-06-27,38.17,1.1208,42.78
SL1110,C004,S03,P06,PM01,E02,2026-06-27,1.0,5.0052,5.01
SL1111,C001,S04,P04,PM04,E03,2026-06-28,6.14,0.8788,5.4
SL1112,C005,S06,P07,PM04,E01,2026-06-28,2.0,5.0424,10.08
SL1113,C010,S05,P06,PM02,E04,2026-06-28,1.0,4.9725,4.97
SL1114,C003,S03,P07,PM02,E01,2026-06-28,1.0,5.0293,5.03
SL1115,C007,S01,P04,PM03,E04,2026-06-29,37.99,0.9,34.19
SL1116,C007,S04,P01,PM01,E04,2026-06-29,30.71,0.9604,29.49
SL1117,C001,S01,P02,PM01,E03,2026-06-29,25.17,1.0763,27.09
SL1118,C003,S04,P05,PM04,E03,2026-06-29,1.0,5.0085,5.01
SL1119,C010,S04,P01,PM04,E03,2026-06-29,19.29,0.9321,17.98
SL1120,C003,S03,P04,PM04,E03,2026-06-30,28.19,0.89,
SL1121,C008,S01,P04,PM01,E03,2026-06-30,13.83,0.8616,11.92
SL1122,C002,S05,P07,PM01,E04,2026-06-30,2.0,4.9688,9.94
